timestamp,competitor,platform,metric_type,value
2026-02-24T06:40:51.494493,DirecTV Stream,Trustpilot,review_count,3033.0
2026-02-24T06:40:54.279855,DirecTV Stream,Google Play Store,star_rating,4.690000057220459
2026-02-24T06:40:54.282767,DirecTV Stream,Google Play Store,review_count,23863871.0
2026-02-24T06:41:07.119448,DAZN,Twitter,follower_count,0.0
2026-02-24T06:41:14.456805,DAZN,Instagram,follower_count,0.0
2026-02-24T06:41:20.124996,DAZN,TikTok,follower_count,73300.0
2026-02-24T06:41:26.855821,DAZN,YouTube,follower_count,0.0
2026-02-24T06:41:33.999143,DAZN,Facebook,follower_count,7.0
2026-02-24T06:41:40.475662,DAZN,LinkedIn,follower_count,242024.0
2026-02-24T06:41:55.908833,Sky Sports,Twitter,follower_count,0.0
2026-02-24T06:42:02.530925,Sky Sports,Instagram,follower_count,0.0
2026-02-24T06:42:08.428566,Sky Sports,TikTok,follower_count,4700000.0
2026-02-24T06:42:15.720403,Sky Sports,YouTube,follower_count,0.0
2026-02-24T06:42:22.509065,Sky Sports,Facebook,follower_count,17.0
2026-02-24T06:42:28.250053,Sky Sports,LinkedIn,follower_count,0.0
2026-02-24T06:42:43.827136,BT Sport,Twitter,follower_count,0.0
2026-02-24T06:42:50.343268,BT Sport,Instagram,follower_count,0.0
2026-02-24T06:42:56.263981,BT Sport,TikTok,follower_count,363.0
2026-02-24T06:43:01.825347,BT Sport,YouTube,follower_count,0.0
2026-02-24T06:43:08.865027,BT Sport,Facebook,follower_count,0.0
2026-02-24T06:43:15.235569,BT Sport,LinkedIn,follower_count,0.0
2026-02-24T06:43:38.721507,ESPN,Twitter,follower_count,0.0
2026-02-24T06:43:47.656614,ESPN,Instagram,follower_count,0.0
2026-02-24T06:43:53.922605,ESPN,TikTok,follower_count,56700000.0
2026-02-24T06:44:02.735727,ESPN,YouTube,follower_count,0.0
2026-02-24T06:44:09.985832,ESPN,Facebook,follower_count,24.0
2026-02-24T06:44:16.073020,ESPN,LinkedIn,follower_count,872817.0
2026-02-24T06:44:31.295722,Amazon Prime Video,Twitter,follower_count,0.0
2026-02-24T06:44:38.472872,Amazon Prime Video,Instagram,follower_count,0.0
2026-02-24T06:44:46.092608,Amazon Prime Video,TikTok,follower_count,24.0
2026-02-24T06:44:52.057864,Amazon Prime Video,YouTube,follower_count,0.0
2026-02-24T06:44:59.180103,Amazon Prime Video,Facebook,follower_count,587.0
2026-02-24T06:45:04.938262,Amazon Prime Video,LinkedIn,follower_count,0.0
2026-02-24T06:45:20.474951,Discovery+,Twitter,follower_count,0.0
2026-02-24T06:45:27.181095,Discovery+,Instagram,follower_count,0.0
2026-02-24T06:45:33.102733,Discovery+,TikTok,follower_count,0.0
2026-02-24T06:45:38.635335,Discovery+,YouTube,follower_count,0.0
2026-02-24T06:45:45.140108,Discovery+,Facebook,follower_count,0.0
2026-02-24T06:45:51.151255,Discovery+,LinkedIn,follower_count,0.0
2026-02-24T06:46:06.514966,Eurosport,Twitter,follower_count,0.0
2026-02-24T06:46:13.081474,Eurosport,Instagram,follower_count,0.0
2026-02-24T06:46:18.815947,Eurosport,TikTok,follower_count,2.0
2026-02-24T06:46:24.393261,Eurosport,YouTube,follower_count,0.0
2026-02-24T06:46:31.566744,Eurosport,Facebook,follower_count,81.0
2026-02-24T06:46:37.576530,Eurosport,LinkedIn,follower_count,60551.0
2026-02-24T06:46:52.947926,TNT Sports,Twitter,follower_count,0.0
2026-02-24T06:46:59.596446,TNT Sports,Instagram,follower_count,0.0
2026-02-24T06:47:05.002585,TNT Sports,TikTok,follower_count,1800000.0
2026-02-24T06:47:11.737106,TNT Sports,YouTube,follower_count,0.0
2026-02-24T06:47:18.843156,TNT Sports,Facebook,follower_count,13.0
2026-02-24T06:47:24.663400,TNT Sports,LinkedIn,follower_count,0.0
2026-02-24T06:47:40.974636,NOW,Twitter,follower_count,0.0
2026-02-24T06:47:47.973182,NOW,Instagram,follower_count,0.0
2026-02-24T06:47:54.226826,NOW,TikTok,follower_count,865200.0
2026-02-24T06:48:00.832261,NOW,YouTube,follower_count,0.0
2026-02-24T06:48:07.403779,NOW,Facebook,follower_count,0.0
2026-02-24T06:48:13.205571,NOW,LinkedIn,follower_count,375.0
2026-02-24T06:48:28.485608,Paramount+,Twitter,follower_count,0.0
2026-02-24T06:48:34.885497,Paramount+,Instagram,follower_count,0.0
2026-02-24T06:48:40.563444,Paramount+,TikTok,follower_count,0.0
2026-02-24T06:48:46.059525,Paramount+,YouTube,follower_count,0.0
2026-02-24T06:48:52.592819,Paramount+,Facebook,follower_count,0.0
2026-02-24T06:48:58.233665,Paramount+,LinkedIn,follower_count,0.0
2026-02-24T06:49:13.496750,Peacock,Twitter,follower_count,0.0
2026-02-24T06:49:20.019050,Peacock,Instagram,follower_count,0.0
2026-02-24T06:49:25.649673,Peacock,TikTok,follower_count,4900000.0
2026-02-24T06:49:32.571777,Peacock,YouTube,follower_count,0.0
2026-02-24T06:49:39.933654,Peacock,Facebook,follower_count,0.0
2026-02-24T06:49:45.816335,Peacock,LinkedIn,follower_count,0.0
2026-02-24T06:50:00.944118,FuboTV,Twitter,follower_count,0.0
2026-02-24T06:50:07.526820,FuboTV,Instagram,follower_count,0.0
2026-02-24T06:50:13.510353,FuboTV,TikTok,follower_count,0.0
2026-02-24T06:50:19.040794,FuboTV,YouTube,follower_count,0.0
2026-02-24T06:50:26.154440,FuboTV,Facebook,follower_count,315.0
2026-02-24T06:50:32.319603,FuboTV,LinkedIn,follower_count,23478.0
2026-02-24T06:50:47.569507,Sling TV,Twitter,follower_count,0.0
2026-02-24T06:50:54.253150,Sling TV,Instagram,follower_count,0.0
2026-02-24T06:50:59.839744,Sling TV,TikTok,follower_count,0.0
2026-02-24T06:51:06.742441,Sling TV,YouTube,follower_count,0.0
2026-02-24T06:51:13.287457,Sling TV,Facebook,follower_count,0.0
2026-02-24T06:51:19.378776,Sling TV,LinkedIn,follower_count,21481.0
2026-02-24T06:51:34.690004,YouTube TV,Twitter,follower_count,0.0
2026-02-24T06:51:41.288719,YouTube TV,Instagram,follower_count,0.0
2026-02-24T06:51:46.952265,YouTube TV,TikTok,follower_count,8.0
2026-02-24T06:51:53.666529,YouTube TV,YouTube,follower_count,0.0
2026-02-24T06:52:00.853318,YouTube TV,Facebook,follower_count,47.0
2026-02-24T06:52:06.557429,YouTube TV,LinkedIn,follower_count,0.0
2026-02-24T06:52:21.940001,Hulu + Live TV,Twitter,follower_count,0.0
2026-02-24T06:52:28.408149,Hulu + Live TV,Instagram,follower_count,0.0
2026-02-24T06:52:34.147184,Hulu + Live TV,TikTok,follower_count,0.0
2026-02-24T06:52:39.641087,Hulu + Live TV,YouTube,follower_count,0.0
2026-02-24T06:52:46.199939,Hulu + Live TV,Facebook,follower_count,0.0
2026-02-24T06:52:51.924201,Hulu + Live TV,LinkedIn,follower_count,0.0
2026-02-24T06:53:07.281090,DirecTV Stream,Twitter,follower_count,0.0
2026-02-24T06:53:13.932011,DirecTV Stream,Instagram,follower_count,0.0
2026-02-24T06:53:19.721737,DirecTV Stream,TikTok,follower_count,4.0
2026-02-24T06:53:25.379394,DirecTV Stream,YouTube,follower_count,0.0
2026-02-24T06:53:32.348408,DirecTV Stream,Facebook,follower_count,0.0
2026-02-24T06:53:38.829086,DirecTV Stream,LinkedIn,follower_count,140.0
